"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2016,"MUNICIPIO","250855",25,0,0,2,23,0,2,9,4,8,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250860",96,0,0,16,80,5,11,22,8,34,66,30,3,0,3,1,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250870",22,0,0,3,19,3,1,8,2,5,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250880",58,0,0,5,53,3,11,17,8,14,31,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250890",253,0,0,41,212,16,21,78,34,63,134,118,12,0,5,3,2,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250900",72,0,0,9,63,4,7,17,15,20,37,35,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250905",50,0,0,8,42,2,2,18,7,13,28,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250910",163,0,0,24,139,10,12,32,13,72,88,75,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250915",51,0,0,9,42,5,10,13,6,8,26,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250920",103,0,0,12,91,4,16,32,5,34,58,45,7,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250930",37,0,0,7,30,3,0,13,2,12,22,15,2,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250933",17,0,0,0,17,0,3,8,0,6,9,8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250937",14,0,0,0,14,0,2,3,2,7,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250939",57,0,0,5,52,2,7,14,6,23,31,26,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2016,"MUNICIPIO","250940",60,0,0,6,54,6,10,17,10,11,31,29,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250950",42,0,0,8,34,0,5,11,2,16,31,11,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250960",43,0,0,2,41,4,4,14,6,13,18,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250970",266,0,0,33,233,11,42,96,24,60,135,131,7,0,5,5,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250980",81,0,0,12,69,4,5,21,10,29,40,41,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250990",49,0,0,5,44,1,5,15,7,16,26,23,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
